"","","/表章事項","人口【人】","人口【人】","人口【人】"
"時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020年","栃木市","","155,549","77,408","78,141"
"2020年","（旧：栃木市）","","77,064","37,810","39,254"
"2020年","（旧：西方町）","","5,842","2,908","2,934"
"2020年","（旧：大平町）","","29,048","14,804","14,244"
"2020年","（旧：藤岡町）","","14,639","7,295","7,344"
"2020年","（旧：岩舟町）","","16,519","8,388","8,131"
"2020年","（旧：都賀町）","","12,437","6,203","6,234"
"2020年","佐野市","","116,228","57,494","58,734"
"2020年","（旧：佐野市）","","81,971","40,684","41,287"
"2020年","（旧：田沼町）","","25,960","12,771","13,189"
"2020年","（旧：葛生町）","","8,297","4,039","4,258"
"2020年","鹿沼市","","94,033","46,609","47,424"
"2020年","（旧：鹿沼市）","","86,414","42,757","43,657"
"2020年","（旧：粟野町）","","7,619","3,852","3,767"
"2020年","日光市","","77,661","37,823","39,838"
"2020年","（旧：日光市）","","11,483","5,457","6,026"
"2020年","（旧：今市市）","","55,579","27,243","28,336"
"2020年","（旧：足尾町）","","1,739","844","895"
"2020年","（旧：栗山村）","","1,041","530","511"
"2020年","（旧：藤原町）","","7,819","3,749","4,070"
"2020年","小山市","","166,666","84,450","82,216"
"2020年","真岡市","","78,190","39,482","38,708"
"2020年","（旧：真岡市）","","63,828","32,271","31,557"
"2020年","（旧：二宮町）","","14,362","7,211","7,151"
"2020年","大田原市","","72,087","35,407","36,680"
"2020年","（旧：大田原市）","","57,332","28,020","29,312"
"2020年","（旧：湯津上村）","","3,960","1,983","1,977"
"2020年","（旧：黒羽町）","","10,795","5,404","5,391"
"2020年","矢板市","","31,165","15,415","15,750"
"2020年","那須塩原市","","115,210","57,307","57,903"
"2020年","（旧：黒磯市）","","59,880","29,530","30,350"
"2020年","（旧：西那須野町）","","48,522","24,407","24,115"
"2020年","（旧：塩原町）","","6,808","3,370","3,438"
"2020年","さくら市","","44,513","23,102","21,411"
"2020年","（旧：氏家町）","","33,766","16,960","16,806"
"2020年","（旧：喜連川町）","","10,747","6,142","4,605"
"2020年","那須烏山市","","24,875","12,379","12,496"
"2020年","（旧：南那須町）","","10,235","5,181","5,054"
"2020年","（旧：烏山町）","","14,640","7,198","7,442"
"2020年","下野市","","59,507","29,453","30,054"
"2020年","（旧：南河内町）","","19,563","9,701","9,862"
"2020年","（旧：石橋町）","","21,202","10,528","10,674"
"2020年","（旧：国分寺町）","","18,742","9,224","9,518"
"2020年","上三川町","","30,806","15,842","14,964"
"2020年","益子町","","21,898","10,871","11,027"
"2020年","茂木町","","11,891","5,872","6,019"
"2020年","市貝町","","11,262","5,756","5,506"
"2020年","芳賀町","","14,961","7,541","7,420"
"2020年","壬生町","","39,474","19,442","20,032"
"2020年","野木町","","24,913","12,401","12,512"
"2020年","塩谷町","","10,354","5,135","5,219"
"2020年","高根沢町","","29,229","15,254","13,975"
"2020年","那須町","","23,956","11,784","12,172"
"2020年","那珂川町","","15,215","7,682","7,533"
"2020年","（旧：馬頭町）","","9,622","4,848","4,774"
"2020年","（旧：小川町）","","5,593","2,834","2,759"
"2020年","群馬県","","1,939,110","959,411","979,699"
"2020年","前橋市","","332,149","162,298","169,851"
"2020年","（旧：前橋市）","","275,741","134,321","141,420"
"2020年","（旧：富士見村）","","21,707","10,823","10,884"
"2020年","（旧：大胡町）","","17,483","8,572","8,911"
"2020年","（旧：宮城村）","","7,131","3,525","3,606"
"2020年","（旧：粕川村）","","10,087","5,057","5,030"
"2020年","高崎市","","372,973","182,646","190,327"
"2020年","（旧：高崎市）","","252,032","123,488","128,544"
"2020年","（旧：榛名町）","","18,423","8,954","9,469"
"2020年","（旧：倉渕村）","","3,050","1,507","1,543"
"2020年","（旧：箕郷町）","","20,481","9,934","10,547"
"2020年","（旧：群馬町）","","43,565","21,340","22,225"
"2020年","（旧：新町）","","12,053","5,828","6,225"
"2020年","（旧：吉井町）","","23,369","11,595","11,774"
"2020年","桐生市","","106,445","51,392","55,053"
"2020年","（旧：桐生市）","","88,906","42,741","46,165"
"2020年","（旧：新里村）","","15,902","7,830","8,072"
"2020年","（旧：黒保根村）","","1,637","821","816"
"2020年","伊勢崎市","","211,850","106,350","105,500"
"2020年","（旧：伊勢崎市）","","132,591","66,287","66,304"
"2020年","（旧：赤堀町）","","23,700","11,968","11,732"
"2020年","（旧：東村）","","26,455","13,326","13,129"
"2020年","（旧：境町）","","29,104","14,769","14,335"
"2020年","太田市","","223,014","114,106","108,908"
"2020年","（旧：太田市）","","158,800","81,771","77,029"
"2020年","（旧：尾島町）","","13,704","6,901","6,803"
"2020年","（旧：新田町）","","28,486","14,358","14,128"
"2020年","（旧：藪塚本町）","","22,024","11,076","10,948"
"2020年","沼田市","","45,337","21,942","23,395"
"2020年","（旧：沼田市）","","38,615","18,577","20,038"
"2020年","（旧：白沢村）","","3,388","1,711","1,677"
"2020年","（旧：利根村）","","3,334","1,654","1,680"
"2020年","館林市","","75,309","37,769","37,540"
"2020年","渋川市","","74,581","36,363","38,218"
"2020年","（旧：渋川市）","","41,674","20,202","21,472"
"2020年","（旧：北橘村）","","8,808","4,324","4,484"
"2020年","（旧：赤城村）","","9,277","4,615","4,662"
"2020年","（旧：子持村）","","10,856","5,358","5,498"
"2020年","（旧：小野上村）","","1,425","675","750"
"2020年","（旧：伊香保町）","","2,541","1,189","1,352"
"2020年","藤岡市","","63,261","30,766","32,495"
"2020年","（旧：藤岡市）","","58,391","28,423","29,968"
"2020年","（旧：鬼石町）","","4,870","2,343","2,527"
"2020年","富岡市","","47,446","23,403","24,043"
"2020年","（旧：富岡市）","","43,600","21,477","22,123"
"2020年","（旧：妙義町）","","3,846","1,926","1,920"
"2020年","安中市","","54,907","26,848","28,059"
"2020年","（旧：安中市）","","42,775","20,937","21,838"
"2020年","（旧：松井田町）","","12,132","5,911","6,221"
"2020年","みどり市","","49,648","24,562","25,086"
"2020年","（旧：東村）","","1,701","807","894"
"2020年","（旧：笠懸町）","","30,067","14,991","15,076"
"2020年","（旧：大間々町）","","17,880","8,764","9,116"
"2020年","榛東村","","14,216","7,190","7,026"
"2020年","吉岡町","","21,792","10,613","11,179"
"2020年","上野村","","1,128","573","555"
"2020年","神流町","","1,645","793","852"
"2020年","（旧：万場町）","","1,160","550","610"
"2020年","（旧：中里村）","","485","243","242"
"2020年","下仁田町","","6,576","3,224","3,352"
"2020年","南牧村","","1,611","762","849"
"2020年","甘楽町","","12,491","6,175","6,316"
"2020年","中之条町","","15,386","7,498","7,888"
"2020年","（旧：中之条町）","","14,279","6,931","7,348"
"2020年","（旧：六合村）","","1,107","567","540"
"2020年","長野原町","","5,095","2,529","2,566"
"2020年","嬬恋村","","8,850","4,522","4,328"
"2020年","草津町","","6,049","3,034","3,015"
"2020年","高山村","","3,511","1,745","1,766"
"2020年","東吾妻町","","12,728","6,268","6,460"
"2020年","（旧：東村）","","1,712","860","852"
"2020年","（旧：吾妻町）","","11,016","5,408","5,608"
"2020年","片品村","","3,993","1,949","2,044"
"2020年","川場村","","3,480","1,593","1,887"
"2020年","昭和村","","6,953","3,455","3,498"
"2020年","みなかみ町","","17,195","8,349","8,846"
"2020年","（旧：月夜野町）","","8,647","4,194","4,453"
"2020年","（旧：水上町）","","3,484","1,702","1,782"
"2020年","（旧：新治村）","","5,064","2,453","2,611"
"2020年","玉村町","","36,054","17,594","18,460"
"2020年","板倉町","","14,083","7,031","7,052"
"2020年","明和町","","10,882","5,465","5,417"
"2020年","千代田町","","10,861","5,470","5,391"
"2020年","大泉町","","42,089","22,282","19,807"
"2020年","邑楽町","","25,522","12,852","12,670"
"2020年","埼玉県","","7,344,765","3,652,169","3,692,596"
"2020年","さいたま市","","1,324,025","652,920","671,105"
"2020年","（旧：浦和市）","","584,286","288,473","295,813"
"2020年","（旧：大宮市）","","524,655","257,852","266,803"
"2020年","（旧：岩槻市）","","111,815","55,579","56,236"
"2020年","（旧：与野市）","","103,269","51,016","52,253"
"2020年","さいたま市西区","","93,499","45,843","47,656"
"2020年","さいたま市北区","","149,242","73,370","75,872"
"2020年","さいたま市大宮区","","117,784","58,338","59,446"
"2020年","さいたま市見沼区","","165,049","80,749","84,300"
"2020年","さいたま市中央区","","103,269","51,016","52,253"
"2020年","さいたま市桜区","","98,661","49,764","48,897"
"2020年","さいたま市浦和区","","164,822","79,554","85,268"
"2020年","さいたま市南区","","191,563","95,491","96,072"
"2020年","さいたま市緑区","","128,321","63,216","65,105"
"2020年","さいたま市岩槻区","","111,815","55,579","56,236"
"2020年","川越市","","354,571","177,480","177,091"
"2020年","熊谷市","","194,415","97,087","97,328"
"2020年","（旧：熊谷市）","","149,959","74,614","75,345"
"2020年","（旧：大里村）","","8,295","4,204","4,091"
"2020年","（旧：江南町）","","12,644","6,552","6,092"
"2020年","（旧：妻沼町）","","23,517","11,717","11,800"
"2020年","川口市","","594,274","299,238","295,036"
"2020年","（旧：川口市）","","530,263","266,990","263,273"
"2020年","（旧：鳩ケ谷市）","","64,011","32,248","31,763"
"2020年","行田市","","78,617","38,736","39,881"
"2020年","（旧：行田市）","","75,223","37,062","38,161"
"2020年","（旧：南河原村）","","3,394","1,674","1,720"
"2020年","秩父市","","59,674","29,068","30,606"
"2020年","（旧：秩父市）","","50,155","24,465","25,690"
"2020年","（旧：吉田町）","","4,299","2,128","2,171"
"2020年","（旧：大滝村）","","594","275","319"
"2020年","（旧：荒川村）","","4,626","2,200","2,426"
"2020年","所沢市","","342,464","168,197","174,267"
"2020年","飯能市","","80,361","40,294","40,067"
"2020年","（旧：飯能市）","","78,740","39,510","39,230"
"2020年","（旧：名栗村）","","1,621","784","837"
"2020年","加須市","","111,623","55,982","55,641"
"2020年","（旧：加須市）","","67,417","33,706","33,711"
"2020年","（旧：騎西町）","","19,089","9,677","9,412"
"2020年","（旧：北川辺町）","","11,000","5,530","5,470"
"2020年","（旧：大利根町）","","14,117","7,069","7,048"
"2020年","本庄市","","78,569","39,216","39,353"
"2020年","（旧：本庄市）","","57,990","28,952","29,038"
"2020年","（旧：児玉町）","","20,579","10,264","10,315"
"2020年","東松山市","","91,791","46,187","45,604"
"2020年","春日部市","","229,792","113,467","116,325"
"2020年","（旧：春日部市）","","193,850","95,669","98,181"
"2020年","（旧：庄和町）","","35,942","17,798","18,144"
"2020年","狭山市","","148,699","74,178","74,521"
"2020年","羽生市","","52,862","26,142","26,720"
"2020年","鴻巣市","","116,828","57,673","59,155"
"2020年","（旧：鴻巣市）","","79,888","39,424","40,464"
"2020年","（旧：吹上町）","","28,342","13,992","14,350"
"2020年","（旧：川里村）","","8,598","4,257","4,341"
"2020年","深谷市","","141,268","70,200","71,068"
"2020年","（旧：深谷市）","","98,496","48,872","49,624"
"2020年","（旧：岡部町）","","18,035","9,011","9,024"
"2020年","（旧：川本町）","","11,624","5,755","5,869"
"2020年","（旧：花園町）","","13,113","6,562","6,551"
"2020年","上尾市","","226,940","112,288","114,652"
"2020年","草加市","","248,304","125,213","123,091"
"2020年","越谷市","","341,621","168,747","172,874"
"2020年","蕨市","","74,283","37,470","36,813"
"2020年","戸田市","","140,899","71,388","69,511"
"2020年","入間市","","145,651","71,803","73,848"
"2020年","朝霞市","","141,083","70,696","70,387"
"2020年","志木市","","75,346","36,945","38,401"
"2020年","和光市","","83,989","43,138","40,851"
"2020年","新座市","","166,017","81,781","84,236"
"2020年","桶川市","","74,748","36,950","37,798"
"2020年","久喜市","","150,582","74,607","75,975"
"2020年","（旧：久喜市）","","66,809","33,067","33,742"
"2020年","（旧：菖蒲町）","","18,801","9,467","9,334"
"2020年","（旧：栗橋町）","","27,019","13,312","13,707"
"2020年","（旧：鷲宮町）","","37,953","18,761","19,192"
"2020年","北本市","","65,201","32,214","32,987"
"2020年","八潮市","","93,363","47,995","45,368"
"2020年","富士見市","","111,859","54,871","56,988"
"2020年","三郷市","","142,145","71,486","70,659"
"2020年","蓮田市","","61,499","30,468","31,031"
"2020年","坂戸市","","100,275","50,041","50,234"
"2020年","幸手市","","50,066","24,979","25,087"
"2020年","鶴ヶ島市","","70,117","34,585","35,532"
"2020年","日高市","","54,571","26,953","27,618"
"2020年","吉川市","","71,979","35,800","36,179"
"2020年","ふじみ野市","","113,597","56,085","57,512"
"2020年","（旧：上福岡市）","","61,828","30,521","31,307"
"2020年","（旧：大井町）","","51,769","25,564","26,205"
"2020年","白岡市","","52,214","25,764","26,450"
"2020年","（旧：白岡町）","","52,214","25,764","26,450"
"2020年","伊奈町","","44,841","22,539","22,302"
"2020年","三芳町","","38,434","18,949","19,485"
"2020年","毛呂山町","","35,366","17,534","17,832"
"2020年","越生町","","11,029","5,494","5,535"
"2020年","滑川町","","19,732","10,070","9,662"
"2020年","嵐山町","","17,889","8,941","8,948"
"2020年","小川町","","28,524","14,190","14,334"
"2020年","川島町","","19,378","9,823","9,555"
"2020年","吉見町","","18,192","9,127","9,065"
"2020年","鳩山町","","13,560","6,556","7,004"
"2020年","ときがわ町","","10,540","5,333","5,207"
"2020年","（旧：都幾川村）","","5,950","2,984","2,966"
"2020年","（旧：玉川村）","","4,590","2,349","2,241"
"2020年","横瀬町","","7,979","3,966","4,013"
"2020年","皆野町","","9,302","4,583","4,719"
"2020年","長瀞町","","6,807","3,321","3,486"
"2020年","小鹿野町","","10,928","5,382","5,546"
"2020年","（旧：小鹿野町）","","8,880","4,344","4,536"
"2020年","（旧：両神村）","","2,048","1,038","1,010"
"2020年","東秩父村","","2,709","1,352","1,357"
"2020年","美里町","","11,039","5,540","5,499"
"2020年","神川町","","13,359","6,755","6,604"
"2020年","（旧：神川町）","","12,470","6,328","6,142"
"2020年","（旧：神泉村）","","889","427","462"
"2020年","上里町","","30,343","15,012","15,331"
"2020年","寄居町","","32,374","16,053","16,321"
"2020年","宮代町","","34,147","17,182","16,965"
"2020年","杉戸町","","43,845","21,927","21,918"
"2020年","松伏町","","28,266","14,208","14,058"
"2020年","千葉県","","6,284,480","3,117,987","3,166,493"
"2020年","千葉市","","974,951","481,246","493,705"
"2020年","千葉市中央区","","211,736","105,766","105,970"
"2020年","千葉市花見川区","","177,328","87,280","90,048"
"2020年","千葉市稲毛区","","160,582","80,345","80,237"
"2020年","千葉市若葉区","","146,940","73,000","73,940"
"2020年","千葉市緑区","","129,421","63,121","66,300"
"2020年","千葉市美浜区","","148,944","71,734","77,210"
"2020年","銚子市","","58,431","28,248","30,183"
"2020年","市川市","","496,676","251,351","245,325"
"2020年","船橋市","","642,907","318,860","324,047"
"2020年","館山市","","45,153","21,846","23,307"
"2020年","木更津市","","136,166","68,450","67,716"
"2020年","松戸市","","498,232","247,210","251,022"
"2020年","野田市","","152,638","76,195","76,443"
"2020年","（旧：野田市）","","128,103","63,737","64,366"
"2020年","（旧：関宿町）","","24,535","12,458","12,077"
"2020年","茂原市","","86,782","42,643","44,139"
"2020年","成田市","","132,906","66,231","66,675"
"2020年","（旧：成田市）","","116,069","57,650","58,419"
"2020年","（旧：下総町）","","6,185","3,110","3,075"
"2020年","（旧：大栄町）","","10,652","5,471","5,181"
"2020年","佐倉市","","168,743","82,421","86,322"
"2020年","東金市","","58,219","29,251","28,968"
"2020年","旭市","","63,745","31,379","32,366"
"2020年","（旧：旭市）","","38,693","19,002","19,691"
"2020年","（旧：干潟町）","","6,160","3,040","3,120"
"2020年","（旧：海上町）","","10,218","5,037","5,181"
"2020年","（旧：飯岡町）","","8,674","4,300","4,374"
"2020年","習志野市","","176,197","87,882","88,315"
"2020年","柏市","","426,468","210,824","215,644"
"2020年","（旧：柏市）","","373,951","184,615","189,336"
"2020年","（旧：沼南町）","","52,517","26,209","26,308"
"2020年","勝浦市","","16,927","8,704","8,223"
"2020年","市原市","","269,524","138,438","131,086"
"2020年","流山市","","199,849","98,431","101,418"
"2020年","八千代市","","199,498","97,920","101,578"
"2020年","我孫子市","","130,510","63,546","66,964"
"2020年","鴨川市","","32,116","15,224","16,892"
"2020年","（旧：鴨川市）","","26,904","12,713","14,191"
"2020年","（旧：天津小湊町）","","5,212","2,511","2,701"
"2020年","鎌ケ谷市","","109,932","53,592","56,340"
"2020年","君津市","","82,206","41,928","40,278"
"2020年","富津市","","42,465","21,529","20,936"
"2020年","浦安市","","171,362","83,506","87,856"
"2020年","四街道市","","93,576","46,347","47,229"
"2020年","袖ケ浦市","","63,883","32,214","31,669"
"2020年","八街市","","67,455","34,113","33,342"
"2020年","印西市","","102,609","50,574","52,035"
"2020年","（旧：印西市）","","81,379","40,025","41,354"
"2020年","（旧：印旛村）","","13,104","6,564","6,540"
"2020年","（旧：本埜村）","","8,126","3,985","4,141"
"2020年","白井市","","62,441","30,916","31,525"
"2020年","（旧：白井町）","","62,441","30,916","31,525"
"2020年","富里市","","49,735","25,303","24,432"
"2020年","（旧：富里町）","","49,735","25,303","24,432"
"2020年","南房総市","","35,831","17,011","18,820"
"2020年","（旧：富浦町）","","4,167","1,969","2,198"
"2020年","（旧：富山町）","","4,779","2,283","2,496"
"2020年","（旧：三芳村）","","4,107","1,944","2,163"
"2020年","（旧：白浜町）","","4,228","1,945","2,283"
"2020年","（旧：千倉町）","","9,656","4,569","5,087"
"2020年","（旧：丸山町）","","4,455","2,160","2,295"
"2020年","（旧：和田町）","","4,439","2,141","2,298"
"2020年","匝瑳市","","35,040","17,251","17,789"
"2020年","（旧：八日市場市）","","27,225","13,389","13,836"
"2020年","（旧：野栄町）","","7,815","3,862","3,953"
"2020年","香取市","","72,356","35,626","36,730"
"2020年","（旧：佐原市）","","37,710","18,586","19,124"
"2020年","（旧：小見川町）","","21,699","10,656","11,043"
"2020年","（旧：山田町）","","8,740","4,292","4,448"
"2020年","（旧：栗源町）","","4,207","2,092","2,115"
"2020年","山武市","","48,444","24,200","24,244"
"2020年","（旧：成東町）","","20,647","10,237","10,410"
"2020年","（旧：山武町）","","15,351","7,787","7,564"
"2020年","（旧：蓮沼村）","","3,682","1,796","1,886"
"2020年","（旧：松尾町）","","8,764","4,380","4,384"
"2020年","いすみ市","","35,544","17,362","18,182"
"2020年","（旧：夷隅町）","","6,124","3,011","3,113"
"2020年","（旧：大原町）","","16,495","8,039","8,456"
"2020年","（旧：岬町）","","12,925","6,312","6,613"
"2020年","大網白里市","","48,129","23,549","24,580"
"2020年","（旧：大網白里町）","","48,129","23,549","24,580"
"2020年","酒々井町","","20,745","10,155","10,590"
"2020年","栄町","","20,127","9,869","10,258"
"2020年","神崎町","","5,816","2,938","2,878"
"2020年","多古町","","13,735","6,941","6,794"
"2020年","東庄町","","13,228","6,575","6,653"
"2020年","九十九里町","","14,639","7,203","7,436"
"2020年","芝山町","","7,033","3,474","3,559"
"2020年","横芝光町","","22,075","10,767","11,308"
"2020年","（旧：光町）","","9,746","4,763","4,983"
"2020年","（旧：横芝町）","","12,329","6,004","6,325"
"2020年","一宮町","","11,897","5,824","6,073"
"2020年","睦沢町","","6,760","3,259","3,501"
"2020年","長生村","","13,803","6,801","7,002"
"2020年","白子町","","10,305","5,115","5,190"
"2020年","長柄町","","6,721","3,295","3,426"
"2020年","長南町","","7,198","3,527","3,671"
"2020年","大多喜町","","8,885","4,307","4,578"
"2020年","御宿町","","6,874","3,260","3,614"
"2020年","鋸南町","","6,993","3,356","3,637"
"2020年","東京都","","14,047,594","6,898,388","7,149,206"
"2020年","特別区部","","9,733,276","4,774,402","4,958,874"
"2020年","千代田区","","66,680","33,637","33,043"
"2020年","中央区","","169,179","80,931","88,248"
"2020年","港区","","260,486","123,410","137,076"
"2020年","新宿区","","349,385","174,822","174,563"
"2020年","文京区","","240,069","115,483","124,586"
"2020年","台東区","","211,444","108,586","102,858"
"2020年","墨田区","","272,085","134,787","137,298"
"2020年","江東区","","524,310","258,015","266,295"
"2020年","品川区","","422,488","208,688","213,800"
"2020年","目黒区","","288,088","135,820","152,268"
"2020年","大田区","","748,081","372,464","375,617"
"2020年","世田谷区","","943,664","445,592","498,072"
"2020年","渋谷区","","243,883","117,907","125,976"
"2020年","中野区","","344,880","172,525","172,355"
"2020年","杉並区","","591,108","284,301","306,807"
"2020年","豊島区","","301,599","151,020","150,579"
"2020年","北区","","355,213","176,289","178,924"
"2020年","荒川区","","217,475","107,683","109,792"
"2020年","板橋区","","584,483","286,179","298,304"
"2020年","練馬区","","752,608","361,770","390,838"
"2020年","足立区","","695,043","347,408","347,635"
"2020年","葛飾区","","453,093","225,758","227,335"
"2020年","江戸川区","","697,932","351,327","346,605"
"2020年","八王子市","","579,355","291,307","288,048"
"2020年","立川市","","183,581","91,191","92,390"
"2020年","武蔵野市","","150,149","71,868","78,281"
"2020年","三鷹市","","195,391","94,489","100,902"
"2020年","青梅市","","133,535","66,654","66,881"
"2020年","府中市","","262,790","131,468","131,322"
"2020年","昭島市","","113,949","56,639","57,310"
"2020年","調布市","","242,614","117,044","125,570"
"2020年","町田市","","431,079","210,533","220,546"
"2020年","小金井市","","126,074","61,759","64,315"
"2020年","小平市","","198,739","97,507","101,232"
"2020年","日野市","","190,435","94,918","95,517"
"2020年","東村山市","","151,815","73,827","77,988"
"2020年","国分寺市","","129,242","62,985","66,257"
"2020年","国立市","","77,130","37,515","39,615"
"2020年","福生市","","56,414","28,023","28,391"
"2020年","狛江市","","84,772","41,043","43,729"
"2020年","東大和市","","83,901","41,034","42,867"
"2020年","清瀬市","","76,208","36,550","39,658"
"2020年","東久留米市","","115,271","55,647","59,624"
"2020年","武蔵村山市","","70,829","35,260","35,569"
"2020年","多摩市","","146,951","71,611","75,340"
"2020年","稲城市","","93,151","46,879","46,272"
"2020年","羽村市","","54,326","27,471","26,855"
"2020年","あきる野市","","79,292","39,230","40,062"
"2020年","西東京市","","207,388","100,992","106,396"
"2020年","（旧：田無市）","","91,729","44,805","46,924"
"2020年","（旧：保谷市）","","115,659","56,187","59,472"
"2020年","瑞穂町","","31,765","15,992","15,773"
"2020年","日の出町","","16,958","8,267","8,691"
"2020年","檜原村","","2,003","983","1,020"
"2020年","奥多摩町","","4,750","2,389","2,361"
"2020年","大島町","","7,102","3,667","3,435"
"2020年","利島村","","327","197","130"
"2020年","新島村","","2,441","1,204","1,237"
"2020年","神津島村","","1,855","952","903"
"2020年","三宅村","","2,273","1,269","1,004"
"2020年","御蔵島村","","323","181","142"
"2020年","八丈町","","7,042","3,534","3,508"
"2020年","青ヶ島村","","169","102","67"
"2020年","小笠原村","","2,929","1,805","1,124"
"2020年","神奈川県","","9,237,337","4,588,268","4,649,069"
"2020年","横浜市","","3,777,491","1,867,305","1,910,186"
"2020年","横浜市鶴見区","","297,437","153,438","143,999"
"2020年","横浜市神奈川区","","247,267","126,011","121,256"
"2020年","横浜市西区","","104,935","53,091","51,844"
"2020年","横浜市中区","","151,388","77,135","74,253"
"2020年","横浜市南区","","198,157","98,939","99,218"
"2020年","横浜市保土ケ谷区","","207,811","101,940","105,871"
"2020年","横浜市磯子区","","166,731","82,061","84,670"
"2020年","横浜市金沢区","","198,939","97,016","101,923"
"2020年","横浜市港北区","","358,530","179,150","179,380"
"2020年","横浜市戸塚区","","283,709","138,309","145,400"
"2020年","横浜市港南区","","215,248","105,015","110,233"
"2020年","横浜市旭区","","245,174","118,260","126,914"
"2020年","横浜市緑区","","183,082","90,168","92,914"
"2020年","横浜市瀬谷区","","122,623","59,355","63,268"
"2020年","横浜市栄区","","120,194","58,513","61,681"
"2020年","横浜市泉区","","152,378","73,934","78,444"
"2020年","横浜市青葉区","","310,756","150,351","160,405"
"2020年","横浜市都筑区","","213,132","104,619","108,513"
"2020年","川崎市","","1,538,262","775,772","762,490"
"2020年","川崎市川崎区","","232,965","125,091","107,874"
"2020年","川崎市幸区","","171,119","86,705","84,414"
"2020年","川崎市中原区","","263,683","133,883","129,800"
"2020年","川崎市高津区","","234,328","116,338","117,990"
"2020年","川崎市多摩区","","221,734","112,978","108,756"
"2020年","川崎市宮前区","","233,728","113,386","120,342"
"2020年","川崎市麻生区","","180,705","87,391","93,314"
"2020年","相模原市","","725,493","362,193","363,300"
"2020年","（旧：相模原市）","","662,159","330,448","331,711"
"2020年","（旧：城山町）","","23,180","11,535","11,645"
"2020年","（旧：津久井町）","","24,002","12,075","11,927"
"2020年","（旧：相模湖町）","","7,695","3,888","3,807"
"2020年","（旧：藤野町）","","8,457","4,247","4,210"
"2020年","相模原市緑区","","170,207","85,615","84,592"
"2020年","相模原市中央区","","273,875","137,167","136,708"
"2020年","相模原市南区","","281,411","139,411","142,000"
"2020年","横須賀市","","388,078","193,513","194,565"
"2020年","平塚市","","258,422","129,056","129,366"
"2020年","鎌倉市","","172,710","81,097","91,613"
"2020年","藤沢市","","436,905","215,596","221,309"
"2020年","小田原市","","188,856","91,321","97,535"
"2020年","茅ヶ崎市","","242,389","117,608","124,781"
"2020年","逗子市","","57,060","26,719","30,341"
"2020年","三浦市","","42,069","20,142","21,927"
"2020年","秦野市","","162,439","82,134","80,305"
"2020年","厚木市","","223,705","115,343","108,362"
"2020年","大和市","","239,169","119,582","119,587"
"2020年","伊勢原市","","101,780","51,486","50,294"
"2020年","海老名市","","136,516","68,631","67,885"
"2020年","座間市","","132,325","66,001","66,324"
"2020年","南足柄市","","40,841","20,000","20,841"
"2020年","綾瀬市","","83,913","42,581","41,332"
"2020年","葉山町","","31,665","14,914","16,751"
"2020年","寒川町","","48,348","24,466","23,882"
"2020年","大磯町","","31,634","15,411","16,223"
"2020年","二宮町","","27,564","13,285","14,279"
"2020年","中井町","","9,300","4,664","4,636"
"2020年","大井町","","17,129","8,437","8,692"
"2020年","松田町","","10,836","5,404","5,432"
"2020年","山北町","","9,761","4,826","4,935"
"2020年","開成町","","18,329","8,911","9,418"
"2020年","箱根町","","11,293","5,423","5,870"
"2020年","真鶴町","","6,722","3,124","3,598"
"2020年","湯河原町","","23,426","10,884","12,542"
"2020年","愛川町","","39,869","20,883","18,986"
"2020年","清川村","","3,038","1,556","1,482"
"2020年","新潟県","","2,201,272","1,068,670","1,132,602"
"2020年","新潟市","","789,275","379,741","409,534"
"2020年","（旧：新潟市）","","495,693","238,163","257,530"
"2020年","（旧：新津市）","","66,046","31,685","34,361"
"2020年","（旧：白根市）","","35,817","17,286","18,531"
"2020年","（旧：豊栄市）","","46,642","22,601","24,041"
"2020年","（旧：小須戸町）","","9,023","4,331","4,692"
"2020年","（旧：横越町）","","11,921","5,893","6,028"
"2020年","（旧：亀田町）","","35,317","16,944","18,373"
"2020年","（旧：岩室村）","","8,219","3,882","4,337"
"2020年","（旧：巻町）","","25,801","12,448","13,353"
"2020年","（旧：西川町）","","10,450","4,980","5,470"
"2020年","（旧：黒埼町）","","26,236","12,708","13,528"
"2020年","（旧：味方村）","","4,308","2,062","2,246"
"2020年","（旧：潟東村）","","5,202","2,507","2,695"
"2020年","（旧：月潟村）","","3,312","1,629","1,683"
"2020年","（旧：中之口村）","","5,288","2,622","2,666"
"2020年","新潟市北区","","72,804","35,490","37,314"
"2020年","新潟市東区","","134,446","64,388","70,058"
"2020年","新潟市中央区","","180,345","86,046","94,299"
"2020年","新潟市江南区","","67,972","32,940","35,032"
"2020年","新潟市秋葉区","","75,069","36,016","39,053"
"2020年","新潟市南区","","43,437","20,977","22,460"
"2020年","新潟市西区","","160,656","77,653","83,003"
"2020年","新潟市西蒲区","","54,546","26,231","28,315"
"2020年","長岡市","","266,936","131,011","135,925"
"2020年","（旧：長岡市）","","191,859","94,426","97,433"
"2020年","（旧：栃尾市）","","16,440","8,065","8,375"
"2020年","（旧：中之島町）","","10,790","5,341","5,449"
"2020年","（旧：越路町）","","13,144","6,312","6,832"
"2020年","（旧：三島町）","","6,738","3,232","3,506"
"2020年","（旧：与板町）","","5,957","2,926","3,031"
"2020年","（旧：和島村）","","3,676","1,790","1,886"
"2020年","（旧：寺泊町）","","8,694","4,254","4,440"
