"","","/表章事項","人口【人】","人口【人】","人口【人】"
"時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020年","黒松内町","","2,791","1,353","1,438"
"2020年","蘭越町","","4,568","2,197","2,371"
"2020年","ニセコ町","","5,074","2,624","2,450"
"2020年","真狩村","","2,045","1,035","1,010"
"2020年","留寿都村","","1,911","971","940"
"2020年","喜茂別町","","2,156","1,112","1,044"
"2020年","京極町","","2,941","1,420","1,521"
"2020年","倶知安町","","15,129","7,787","7,342"
"2020年","共和町","","5,772","3,047","2,725"
"2020年","岩内町","","11,648","5,500","6,148"
"2020年","泊村","","1,569","784","785"
"2020年","神恵内村","","870","400","470"
"2020年","積丹町","","1,831","855","976"
"2020年","古平町","","2,745","1,307","1,438"
"2020年","仁木町","","3,180","1,526","1,654"
"2020年","余市町","","18,000","8,342","9,658"
"2020年","赤井川村","","1,165","606","559"
"2020年","南幌町","","7,319","3,461","3,858"
"2020年","奈井江町","","5,120","2,405","2,715"
"2020年","上砂川町","","2,841","1,292","1,549"
"2020年","由仁町","","4,822","2,302","2,520"
"2020年","長沼町","","10,289","4,919","5,370"
"2020年","栗山町","","11,272","5,176","6,096"
"2020年","月形町","","3,691","2,185","1,506"
"2020年","浦臼町","","1,732","845","887"
"2020年","新十津川町","","6,484","2,976","3,508"
"2020年","妹背牛町","","2,693","1,290","1,403"
"2020年","秩父別町","","2,329","1,072","1,257"
"2020年","雨竜町","","2,389","1,165","1,224"
"2020年","北竜町","","1,724","823","901"
"2020年","沼田町","","2,909","1,392","1,517"
"2020年","鷹栖町","","6,567","3,105","3,462"
"2020年","東神楽町","","10,127","4,702","5,425"
"2020年","当麻町","","6,319","2,912","3,407"
"2020年","比布町","","3,520","1,662","1,858"
"2020年","愛別町","","2,605","1,215","1,390"
"2020年","上川町","","3,500","1,708","1,792"
"2020年","東川町","","8,314","3,877","4,437"
"2020年","美瑛町","","9,668","4,495","5,173"
"2020年","上富良野町","","10,348","5,363","4,985"
"2020年","中富良野町","","4,733","2,260","2,473"
"2020年","南富良野町","","2,376","1,228","1,148"
"2020年","占冠村","","1,306","653","653"
"2020年","和寒町","","3,192","1,497","1,695"
"2020年","剣淵町","","2,926","1,425","1,501"
"2020年","下川町","","3,126","1,491","1,635"
"2020年","美深町","","4,145","2,038","2,107"
"2020年","音威子府村","","706","365","341"
"2020年","中川町","","1,528","805","723"
"2020年","幌加内町","","1,370","681","689"
"2020年","（旧：幌加内町）","","1,370","681","689"
"2020年","増毛町","","3,908","1,776","2,132"
"2020年","小平町","","2,994","1,431","1,563"
"2020年","苫前町","","2,936","1,428","1,508"
